Name,Link,Type,Kitchen,Recipe,Ingredient_num,Portion_num,Time,Likes,Dislikes,Bookmarks
Спагетти карбонара со сливками,/recepty/pasta-picca/spagetti-karbonara-s-krasnym-lukom-17614,Паста и пицца,Итальянская кухня,Пошаговые рецепты,10,4,20 минут,2493,246,23814
Азу по-татарски,/recepty/osnovnye-blyuda/azu-po-tatarski-21751,Основные блюда,Татарская кухня,Пошаговые рецепты,7,4,30 минут,1210,97,15756
Американские панкейки с корицей,/recepty/zavtraki/amerikanskie-pankejki-s-koricej-31193,Завтраки,Американская кухня,Пошаговые рецепты,7,4,30 минут,751,99,12618
Спагетти с чесноком и маслом,/recepty/pasta-picca/spagetti-s-chesnokom-maslom-17620,Паста и пицца,Итальянская кухня,Пошаговые рецепты,8,4,15 минут,605,91,9360
Суп харчо,/recepty/supy/sup-harcho-33916,Супы,Грузинская кухня,Пошаговые рецепты,9,4,1 час  15 минут,574,66,9215
Луковый суп,/recepty/supy/lukovij-sup-17580,Супы,Французская кухня,Пошаговые рецепты,10,4,45 минут,432,60,7058
Нут с баклажаном,/recepty/salaty/nut-s-baklazhanom-22649,Салаты,Тайская кухня,Веганская еда,11,2,30 минут,413,50,6689
Грибной суп,/recepty/supy/gribnoy-sup-18620,Супы,Европейская кухня,Пошаговые рецепты,13,5,1 час  15 минут,317,53,4477
Спагетти аматричана,/recepty/pasta-picca/spagetti-amatrichana-49598,Паста и пицца,Итальянская кухня,Пошаговые рецепты,10,8,1 час,163,7,3167
Спагетти карбонара,/recepty/pasta-picca/spagetti-karbonara-81236,Паста и пицца,Итальянская кухня,Пошаговые рецепты,6,2,30 минут,118,17,2505
Блинчики «Мишлен»,/recepty/zakuski/blinchiki-mishlen-39434,Закуски,Украинская кухня,Пошаговые рецепты,9,2,50 минут,67,6,2081
Польский белый борщ,/recepty/supy/polskij-belij-borshh-46977,Супы,Польская кухня,Пошаговые рецепты,17,6,1 час  10 минут,85,11,1840
Кесадилья с курицей,/recepty/zakuski/kesadilya-s-kuricey-92551,Закуски,Мексиканская кухня,Пошаговые рецепты,17,6,45 минут,53,9,1685
Пельмени с говядиной,/recepty/osnovnye-blyuda/pelmeni-s-govjadinoj-29886,Основные блюда,Русская кухня,Пошаговые рецепты,11,10,30 минут,66,6,1592
"Тефтели с брусничным соусом, маринованным огурцом и коричневым соусом",/recepty/osnovnye-blyuda/tefteli-s-brusnichnym-sousom-marinovannym-ogurcom-i-korichnevym-sousom-80440,Основные блюда,Шведская кухня,Пошаговые рецепты,16,6,1 час  30 минут,29,6,1565
Куриная лапша с потрохами,/recepty/supy/kurinaja-lapsha-s-potrohami-30371,Супы,Русская кухня,Низкокалорийная еда,13,2,15 минут,77,5,1383
Голубцы,/recepty/osnovnye-blyuda/golubcy-114527,Основные блюда,Русская кухня,Пошаговые рецепты,10,4,1 час,29,9,1021
Курица в белом вине в тайском стиле,/recepty/osnovnye-blyuda/kurica-v-belom-vine-v-tayskom-stile-19296,Основные блюда,Тайская кухня,Пошаговые рецепты,15,6,2 часа,28,8,1191
Льежский салат,/recepty/salaty/lezhskiy-salat-80724,Салаты,Бельгийская кухня,Пошаговые рецепты,8,6,40 минут,33,7,982
Чесночный суп «Айго-булидо»,/recepty/supy/chesnochnij-sup-ajgo-bulido-14291,Супы,Французская кухня,Пошаговые рецепты,6,4,10 минут,42,8,966
Классический сырный суп,/recepty/supy/syrnyy-sup-126416,Супы,Советская кухня,Вегетарианская еда,8,6,30 минут,29,1,757
Спагетти с лимонным песто,/recepty/pasta-picca/spagetti-s-limonnim-pesto-30218,Паста и пицца,Итальянская кухня,Пошаговые рецепты,9,6,15 минут,14,2,855
Оладьи,/recepty/zavtraki/oladi-125611,Завтраки,Русская кухня,Пошаговые рецепты,7,6,1 час  30 минут,24,2,701
Гороховый суп с мятой и свиной рулькой,/recepty/supy/gorohovij-sup-s-mjatoj-svinoj-rulkoj-25692,Супы,Европейская кухня,Пошаговые рецепты,13,8,3 часа,23,3,694
Суп из краснокочанной капусты с яйцом пашот и копченой уткой,/recepty/supy/sup-iz-krasno-kochannoj-kapusti-s-jajcom-pashot-i-kopchenoj-utkoj-36683,Супы,Европейская кухня,Пошаговые рецепты,15,4,1 час,24,4,676
Кимчи,/recepty/zakuski/kimchi-92781,Закуски,Корейская кухня,Пошаговые рецепты,14,6,1 час,22,3,662
Зеленый карри с курицей и рисом,/recepty/osnovnye-blyuda/zelenij-karri-s-kuricej-risom-31968,Основные блюда,Индийская кухня,Пошаговые рецепты,19,6,25 минут,27,2,670
Винегрет,/recepty/salaty/vinegret-114539,Салаты,Советская кухня,Пошаговые рецепты,11,6,2 часа,21,2,608
Панна-котта,/recepty/vypechka-deserty/panna-kotta-124981,Выпечка и десерты,Итальянская кухня,Пошаговые рецепты,4,4,10 минут,12,2,572
Торт «Принцесса»,/recepty/vypechka-deserty/tort-princessa-80443,Выпечка и десерты,Шведская кухня,Пошаговые рецепты,12,8,40 минут,22,2,644
Домашние равиоли с рикоттой и шпинатом,/recepty/pasta-picca/domashnie-ravioli-s-rikottoj-i-shpinatom-53129,Паста и пицца,Итальянская кухня,Пошаговые рецепты,8,4,1 час,10,2,620
Куриный суп с вермишелью,/recepty/supy/kurinyy-sup-s-vermishelyu-57997,Супы,Европейская кухня,Пошаговые рецепты,11,4,1 час  50 минут,40,7,506
Вителло-тоннато,/recepty/zakuski/vitello-tonnato-47430,Закуски,Итальянская кухня,Пошаговые рецепты,19,10,1 час,11,1,499
Темпура из овощей и морепродуктов,/recepty/zakuski/tempura-iz-ovoshhej-i-moreproduktov-41364,Закуски,Японская кухня,Пошаговые рецепты,15,4,25 минут,8,2,487
Блины,/recepty/vypechka-deserty/bliny-126248,Выпечка и десерты,Русская кухня,Пошаговые рецепты,7,4,40 минут,26,6,529
