Name,Link,Ingredients,Recipe Text
Спагетти карбонара со сливками,/recepty/pasta-picca/spagetti-karbonara-s-krasnym-lukom-17614,"['Спагетти', 'Сливочное масло', 'Чеснок', 'Красный лук', 'Бекон', 'Сливки 20%-ные', 'Тертый сыр пармезан', 'Куриное яйцо', 'Соль', 'Молотый черный перец']","1. Вскипятите воду в большой кастрюле и сварите пасту до состояния аль денте. Обычно для этого нужно варить ее на минуту меньше, чем указано на пачке.
2. Пока паста варится, растопите на сковороде масло и обжарьте на нем мелко нарезанные лук, чеснок и бекон. До мягкости и до отчетливого чесночного и жаренобеконного запаха.
3. Снимите сковороду с огня и в глубокой миске взбейте четыре яичных желтка со сливками и тертым пармезаном. Посолите и поперчите смесь, еще раз взбейте.
4. В готовые спагетти вывалите обжаренные с луком и чесноком кусочки бекона. Влейте смесь сливок, желтков и пармезана, перемешайте. И сразу подавайте, посыпав свеженатертым сыром и черным молотым перцем."
Азу по-татарски,/recepty/osnovnye-blyuda/azu-po-tatarski-21751,"['Говядина', 'Репчатый лук', 'Соленые огурцы', 'Томатная паста', 'Картофель', 'Мясной бульон', 'Чеснок']","1. Мясо промыть, нарезать соломкой и слегка обжарить в казане в разогретом растительном масле.
2. Добавить порезанный тонкими полукольцами лук и обжаривать мясо с луком до мягкости лука.
3. Добавить томатную пасту, мелко нарезанные или тертые на крупной терке огурцы. Залить водой или бульоном и тушить под крышкой до полной готовности мяса.
4. В отдельной сковороде обжарить нарезанный соломкой картофель.
5. Когда картофель будет почти готов, переложить его в казан с тушеным мясом, добавить, соль, перец, лавровый лист и пропущенный через чеснокодавилку или мелко порезанный чеснок.
6. Осторожно перемешать и тушить картофель с мясом до готовности примерно 5-7 минут."
Американские панкейки с корицей,/recepty/zavtraki/amerikanskie-pankejki-s-koricej-31193,"['Пшеничная мука', 'Молоко', 'Сахар', 'Куриное яйцо', 'Соль', 'Гашеная сода', 'Молотая корица']","1. Отделить белки от желтков. Белки убрать в холодильник, а желтки выложить в глубокую и широкую миску, добавить к ним сахар, пару щепоток моло- той корицы и растереть до однородной массы.
2. Влить небольшой струйкой в миску полный стакан молока и смешать с яично-сахарной смесью венчиком, стараясь при этом не взбивать жидкость до образования пены.
3. Аккуратно всыпать в яично-молочную смесь просеянную муку, не переставая помешивать венчиком. Добавить соду, гашенную уксусом. Осторожно перемешать.
4. Вымесить венчиком однородное густое тесто, по возможности максимально разбивая образовавшиеся комочки. По консистенции масса должна напоминать густую сметану.
5. В охлажденные белки добавить щепотку соли и взбить венчиком в крутую пену. Если под рукой есть миксер, то лучше воспользоваться им — на высоких оборотах весь процесс займет не больше минуты.
6. Бережно, силиконовой лопаткой или деревянной ложкой, постепенно вмешать взбитые белки в тесто, стараясь не повредить их хрупкую текстуру. Широкую сковороду с антипригарным покрытием смазать половиной чайной ложки сливочного масла и разогреть на умеренном огне.
7. Вылить на сковороду два полных половника теста — один половник на один блинчик. Печь примерно полторы минуты, затем перевернуть и подрумянить с другой стороны. Переложить на блюдо, а на сковороду вылить следующую порцию теста.
8. Добавлять в сковороду масло при этом больше не нужно: все остальные блинчики должны не жариться, а печься на слабом огне до приобретения легкого равномерного румянца. Готовые панкейки выложить на блюдо, смазать оставшимся сливочным маслом и сразу подавать."
Спагетти с чесноком и маслом,/recepty/pasta-picca/spagetti-s-chesnokom-maslom-17620,"['Спагетти', 'Чеснок', 'Перец чили', 'Петрушка', 'Оливковое масло', 'Лимон', 'Соль', 'Молотый черный перец']","1. Поставить спагетти вариться.
2. Где-то за 5 минут до готовности спагетти разогреть сковороду, влить в нее оливковое масло.
3. На оливковом масле обжарить давленый чеснок.
4. Добавить нарезанный крупной стружкой перец чили.
5. Как только чеснок размягчится, добавить мелко нарубленную петрушку, перемешать и снять с огня.
6. После того как спагетти сварятся до состояния аль денте, слить воду.
7. Добавить спагетти в сковороду с обжаренным чесноком, перцем и петрушкой.
8. На небольшом огне потомить эту смесь полминуты, постоянно помешивая, добавить сок половины лимона и цедру половины лимона.
9. Посолить, поперчить, перемешать
10. Подать к столу."
Суп харчо,/recepty/supy/sup-harcho-33916,"['Говядина', 'Репчатый лук', 'Рис', 'Помидоры', 'Укроп', 'Петрушка', 'Специи', 'Чеснок', 'Кинза']","1. Очищаем мясо от костей. В кастрюлю наливаем 2–2,5 литра холодной воды, закладываем мясо и косточки и ставим на огонь.
2. Когда вода закипит, тщательно снимаем пену и уменьшаем огонь так, чтобы вода слегка побулькивала. Оставляем варить на час–полтора. За полчаса до окончания варки в бульон можно добавить корень петрушки или сельдерея и посолить по вкусу.
3. Тем временем, мелко режем лук и обжариваем его в растительном масле на медленном огне, чтобы лук оставался мягким.
4. Как только лук начнет приобретать золотистый цвет, добавляем к нему мясо из бульона и жарим минут 5.
5. Затем добавляем пару столовых ложек бульона и тушим под закрытой крышкой минут 15.
6. Пока мясо и лук тушатся, подготавливаем помидоры.
7. Содержимое сковороды отправляем в бульон, который снова уже на плите и собирается закипеть.
8. Добавить в содержимое кастрюли рис и продолжать варить.
9. Даем нашему еще не законченному супу 5 минут покипеть, уменьшаем огонь до среднего и добавляем специи.
10. На самом последнем этапе приготовления добавляем толченый чеснок и мелко рубленную зелень (укроп, петрушку и кинзу).
11. Даем час супу настояться под крышкой и можно подавать на стол."
Луковый суп,/recepty/supy/lukovij-sup-17580,"['Сливочное масло', 'Репчатый лук', 'Пшеничная мука', 'Белое сухое вино', 'Сахар', 'Куриный бульон', 'Французский багет', 'Сыр грюйер', 'Соль', 'Молотый черный перец']","1. Подготовить необходимые ингредиенты.
2. В большой толстостенной кастрюле растопить сливочное масло.
3. Отправить туда лук, нарезанный полукольцами. Обжаривать, помешивая, пока он не станет прозрачным.
4. Сделать огонь потише и продолжать жарить лук, время от времени помешивая и следя, чтобы он не подгорал. Цель — добиться карамельного оттенка лука и не пережаренной, а мягкой, почти невесомой консистенции.
5. Слегка обжарить на сухой сковородке муку.
6. Как только мука начнет менять цвет и пахнуть жареным орехом, тут же ссыпать ее в кастрюлю с луком и тщательно в лук вмешать.
7. Вылить в кастрюлю сначала вино, смешанное с сахаром, дать луку минуту покипеть вместе с вином, а потом разбавить их компанию бульоном (приготовить самостоятельно) или водой — по желанию. Довести до кипения и варить на очень медленном огне пятнадцать-двадцать минут.
8. Перемешать и добавить оставшуюся воду. Довести до кипения, снять накипь и варить на медленном огне пятнадцать минут.
9. Разложить куски багета на противне и посыпать их тертым  сыром. Поставить в духовку на три-четыре минуты, чтобы сыр расплавился и слегка подрумянился.
10. Подавать суп в глубоких тарелках с плавающими и постепенно набухающими гренками."
Нут с баклажаном,/recepty/salaty/nut-s-baklazhanom-22649,"['Нут', 'Баклажаны', 'Оливковое масло', 'Кинза', 'Петрушка', 'Чеснок', 'Лимонный сок', 'Белый винный уксус', 'Семена зиры', 'Молотая паприка', 'Морская соль']","1. Нут замочить на ночь (или на 4–6 часов). После слить воду, отварить до готовности в свежей чуть подсоленной воде 60–90 минут. Аккуратно. Не переварите.
2. Баклажаны нарезать на крупные кубики, обжарить на оливковом масле со всех сторон до румяной корочки, посолить и тушить до мягкости/готовности. Остудить.
3. Кинзу, петрушку и чеснок измельчить, добавить паприку, зиру, оливковое масло, уксус и лимонный сок.
4. Нут, баклажаны и заправку смешать, посолить. Дать настояться в холодильнике часа 2."
Грибной суп,/recepty/supy/gribnoy-sup-18620,"['Свежие грибы', 'Сливочное масло', 'Вода', 'Картофель', 'Морковь', 'Корень петрушки', 'Репчатый лук', 'Подсолнечное масло', 'Соль', 'Молотый черный перец', 'Лавровый лист', 'Зелень', 'Сметана']","1. Для приготовления этого блюда взять любые свежие грибы, почистить их, нарезать пластинками и обжарить с 2 столовыми ложками сливочного масла.
2. Обжаренные грибы переложить в кастрюлю, залить 2 л кипятка и варить на слабом огне в течение 30 минут.
3. Нарезать соломкой 5–6 клубней картофеля.
4. Корень петрушки, морковь и луковицу нарезать мелким кубиком.
5. Разогреть растительное масло в сковороде и обжарить на нем сначала лук до золотистого цвета.
6. Затем добавить корень петрушки и морковь, жарить еще 5–7 минут.
7. Овощи добавить в суп, посолить, поперчить, добавить лавровый лист и варить еще 20–30 минут до готовности картофеля.
8. В конце добавить мелко нарубленную зелень и снять с огня.
9. Подавать суп со сметаной."
Спагетти аматричана,/recepty/pasta-picca/spagetti-amatrichana-49598,"['Спагетти', 'Оливковое масло extra virgin', 'Бекон', 'Репчатый лук', 'Чеснок', 'Помидоры пелати', 'Тертый сыр пармезан', 'Перец чили хлопьями', 'Свежемолотый черный перец', 'Соль']","1. Разогреть оливковое масло в глубокой сковороде на среднем огне.
2. Нарезать бекон тонкими поперечными полосками, обжарить до золотистого цвета.
3. Обжарить бекон до золотистого цвета. Добавить черный перец и чили, хорошо перемешать.
4. Мелко нарезать лук и чеснок, соединить с беконом (или панчеттой, как делают в Риме). Обжаривать, постоянно помешивая, пока лук не станет мягким и прозрачным.
5. Добавить в сковороду помидоры, размять их лопаткой.
6. Готовить на слабом огне до тех пор, пока соус не начнет густеть. Оставить на медленном огне еще на 15–20 минут.
7. Тем временем вскипятить воду, посолить и бросить спагетти.
8. Снять с огня за 2 минуты до указанного на пачке времени, отбросить на дуршлаг, оставив отдельно стакан воды, в которой варилась паста.
9. Соединить пасту с соусом, основательно перемешать. Добавить 0,5 стакана оставшейся от пасты воды, продолжить готовить те самые 2 минуты.
10. Подавать, посыпав пасту пармезаном или другим твердым сыром."
Спагетти карбонара,/recepty/pasta-picca/spagetti-karbonara-81236,"['Спагетти', 'Панчетта', 'Твердый сыр', 'Яичный желток', 'Соль', 'Свежемолотый черный перец']","1. Довести хорошо посоленную воду до кипения. Сварить спагетти до состояния аль денте. Сохранить немного бульона от пасты, он может понадобиться, остальное слить.
2. Нарезать панчетту.
3. Пока готовится паста, разогреть сковороду и обжарить на ней панчетту до золотистого оттенка, снять с огня.
4. Поместить желтки в миску.
5. Добавить к желткам тертый сыр.
6. Взбить желтки с тертым сыром до однородной массы.
7. Вернуть сковородку с панчеттой на небольшой огонь, добавить около 50 мл бульона от пасты.
8. Бросить туда же спагетти и хорошо перемешать, пока кипение не прекратится. Большая часть воды должна выкипеть.
9. Снять сковородку с огня и добавить желтки с сыром и быстро перемешивать, пока желтки не загустеют. Если соус кажется слишком густым, добавить еще немного бульона от пасты.
10. Поперчить и посолить по вкусу, подавать."
Блинчики «Мишлен»,/recepty/zakuski/blinchiki-mishlen-39434,"['Куриное филе', 'Белый лук', 'Куриное яйцо', 'Молоко', 'Пшеничная мука', 'Сахар', 'Соль', 'Растительное масло', 'Сливочное масло']","1. Курицу залить холодной водой, поставить на сильный огонь и довести до кипения. Как только вода закипит, убавить огонь и варить около десяти минут. Готовность можно проверить, разрезав большой кусок, — внутри не должно быть крови. Готовое мясо остудить.
2. Лук мелко нарубить и обжарить до золотистого цвета. Куриное мясо и лук пропустить через мясорубку. Готовый фарш посолить по вкусу и убрать в холодильник.
3. Замесить тесто: в муку разбить яйца, тщательно перемешать до однородной массы. Постепенно вли­вать молоко, постоянно размешивая тесто, — по консистенции оно должно напоминать ­густую сметану.
4. Обжарить блинчики на большой сковороде, следя за тем, чтобы они вышли тонкими и не подгорели. Полностью остудить.
5. Каждый блинчик разрезать на четыре или шесть частей в зависимости от размера. В каждую часть положить по столовой ложке начинки и аккуратно свернуть в трубочку.
6. Готовые блинчики обжарить на сливочном масле до золотистой корочки. Выложить на тарелку и подавать со сметаной."
Польский белый борщ,/recepty/supy/polskij-belij-borshh-46977,"['Сливочное масло', 'Краковская колбаса', 'Чеснок', 'Лук-порей', 'Репчатый лук', 'Картофель', 'Лавровый лист', 'Майоран', 'Сметана', 'Пшеничная мука', 'Хрен', 'Соль', 'Молотый черный перец', 'Укроп', 'Петрушка', 'Куриное яйцо', 'Вода']","1. Подготовить необходимые ингредиенты.
2. Сварить вкрутую яйца и отставить на время.
3. Укроп и петрушку измельчить, чеснок мелко нарубить, порей и репчатый лук нарезать кольцами. Картофель очистить и нарезать кубиками 2,5 см
4. Копченую колбасу залить полутора литрами воды в большом сотейнике и довести до кипения, убавить огонь до минимального и поварить двадцать пять минут.
5. Перелить получившийся буль­он в миску, туда же переложить колбасу, отставить, сотейник вернуть на плиту.  Добавить ­масло, чеснок, лук и порей и тушить до мягкости десять минут.
6. Влить бульон, добавить картофель, майоран и лавровый лист. Довести до кипения. Варить тридцать минут до мягкости картофеля, после чего взбить блендером до однородного ­пюре.
7. В отдельной миске взбить сметану и муку, добавить примерно 100 мл супа и перемешать до однородности.
8. Влить получившуюся смесь в суп, перемешать и поварить до загустения примерно пять минут.
9. Колбасу нарезать ломтиками толщиной 1 см и добавить в суп вместе с тертым хреном.
10. Посолить, поперчить, разлить по тарелкам и посыпать порции зеленью. Украсить разрезанными пополам яйцами."
Кесадилья с курицей,/recepty/zakuski/kesadilya-s-kuricey-92551,"['Куриное филе', 'Красный сладкий перец', 'Желтый сладкий перец', 'Красный лук', 'Красный перец чили', 'Зеленый перец чили', 'Чеснок', 'Помидоры', 'Кинза', 'Лайм', 'Тортильи', 'Молотый перец чили', 'Молотый черный перец', 'Соль', 'Сахар', 'Сыр чеддер', 'Растительное масло']","1. Куриную грудку надрезать вдоль и развернуть как книгу. Посолить поперчить, посыпать острым перцем, сбрызнуть растительным маслом, накрыть пленкой и дать помариноваться 10-15 минут. Обжарить на раскаленной сковороде по 2 минуты с каждой стороны. Затем переложить и дать остыть.
2. Нарезать красный лук крупными дольками.
3. Сладкий перец, чили и помидоры нарезать кусками такого же размера.
4. Чеснок нарезать мелко.
5. На ту же сковороду добавить масло, и на сильном огне обжарить сначала сладкий перец, затем добавить к нему лук, чили и чеснок.
6. Ближе к концу добавить помидоры. Овощи должны получиться с румяными зажаренными боками, но при этом оставаться хрустящими.
7. Курицу нарезать крупными кусками, кинзу тоже не очень мелко. Добавить их к обжаренным овощам, посолить, поперчить, добавить сахар и полить соком лайма.
8. На сухой сковороде подогреть тортилью с обеих сторон.
9. Положить тертый сыр и начинку, сложить пополам и отправить в духовку, разогретую до 200 градусов на режиме гриля. Подпекать тортилью нужно 4-5 минут, тортильи должны стать золотистыми и хрустящими.
10. Подавать со сметаной."
Пельмени с говядиной,/recepty/osnovnye-blyuda/pelmeni-s-govjadinoj-29886,"['Тесто для пельменей', 'Говяжья грудинка', 'Репчатый лук', 'Петрушка', 'Сливочное масло', 'Укроп', 'Лавровый лист', 'Черный перец горошком', 'Соль', 'Молотый черный перец', 'Сметана']","1. Для фарша не очень жирную грудинку прокрутить вместе со сливочным маслом через мясорубку.
2. Нарезать мелко лук и петрушку.
3. Лук пропассеровать на подсолнечном масле.
4. Фарш посолить и поперчить по вкусу,
5. Добавить в фарш измельченную петрушку и пассерованный лук.
6. Все хорошо перемешать и убрать в холодильник ровно на час, чтобы фарш окреп и стал эластичным.
7. Тесто раскатать скалкой до толщины 1 мм и вырезать из него кружки диаметром 4,5 см.
8. Выложить на каждый по 5 грамм начинки, свернуть пополам, защипнуть края и соединить уголки.
9. Подготовить бульон: налить в кастрюлю 5 литров воды, посолить, положить лавровый лист, черный перец горошком и веточки укропа целиком. В кипящую воду бросить пельмени и варить 5–6 минут до готов­ности.
10. Подать со сметаной."
